identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
00-58-р,00-0031,30.01.2018,Дрогобицька міська рада,58-р,30.01.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Стрийська. 104,null,49.349530,23.523005,тополя,3,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0032,30.01.2018,Дрогобицька міська рада,58-р,30.01.2018,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Сагайдачного. 92,null,49.358388,23.503054,тополя,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0033,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Трускавецька,біля виправної колонії,49.32827,23.51506,тополя,2,2,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0034,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.В.Великого.66,null,49.35577,23.53349,липа,5,5,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0035,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Бориславська.43,null,49.34564,23.50069,тополя,3,3,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0036,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Кменярська ,null,49.34897,23.50179,Вільха,7,7,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0037,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Стрийська 55,null,49.35117,23.51796,тополя,1,1,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0038,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Бориславська ,біля музичного коледжу,49.34931,23.50469,горіх,2,2,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0039,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.В.Великого.11,,49.35688,23.53307,липа,8,8,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0040,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Грушевського.35/2,,49.35326,23.51895,липа,5,5,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0041,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.В.Великого.56,,49.35546,23.53104,Вільха,1,1,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0042,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Трускавецька.92,,49.33885,23.51003,горіх,1,1,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0043,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Сагайдачного,вздовж дороги,49.35783,23.50793,null,48,48,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0044,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Шептицького,вздовж дороги,49.36073,23.50368,null,18,18,,10.08.2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0045,04.12.2019,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Грушевського101/1,,49.35470,23.53689,горіх,1,1,,10.08.2019,2019,Дозволено розпорядженням міського голови
,,,,19,18.02.2020,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Грушевського 105,від Грушевського 105 до площі злуки,49.35478,23.53969,клен,5,5,0,02.11.2021,2020,
,,,,209,26.10.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Вокзальна 7,,49.35358,23.54195,,17,17,0,03.11.2021,2020,
,,,,225,12.11.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Стрийська 28,,49.35121,23.51373,,2,2,0,18.11.2021,2020,
,,,,144,12.08.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Б. Хмельницького,Біля озера,49.33349,23.51058,,4,4,0,28.08.2021,2020,
,,,,224,09.11.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Гончарська 11,,49.35044,23.5051,каштан,6,6,0,12.11.2021,2020,
,,,,12,04.02.2020,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Данила Галицького,,49.35035,23.50429,клен/верба,2,2,0,30.11.2021,2020,
,,,,229,19.11.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Шашкевича 31/1,,49.34752,23.50301,ясен,1,1,0,25.11.2021,2020,
,,,,223,06.11.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. В. Великого 22,,49.35702,23.51528,липа,1,1,0,10.11.2021,2020,
,,,,166,11.09.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Трускавецька,від вул. Холмської до в/ч,49.32456,23.51639,,,,,30.09.2021,2020,
,,,,113,06.07.2020,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. П. Орлика 14,,49.35558,23.51297,,11,11,0,14.07.2021,2020,
,,,,33,18.03.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Тураша 28-32,,49.36468,23.55335,липа,3,3,0,30.03.2021,2020,
,,,,10,28.01.2020,"КП ""КМГ""",32300054,Україна,Львівська область,Дрогобич,вул. В. Великого 2,,49.35750,23.51132,,4,4,0,10.02.2021,2020,
,,,,197,16.10.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Грушевського 95/2,,49.35471,23.53376,липа,2,2,0,22.10.2021,2020,
,,,,199,19.10.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. 22 Січня 48,,49.36144,23.51066,горіх,1,1,0,31.10.2021,2020,
,,,,207,23.10.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Гончара 6,,49.35821,23.52903,горіх,1,1,0,27.10.2021,2020,
,,,,179,01.10.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Грушевського 74,,49.35354,23.53204,липа/акація,3,3,0,10.10.2021,2020,
,,,,161,08.09.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. В. Великого 66,,49.35585,23.53349,верба/липа,3,3,0,06.10.2021,2020,
,,,,15,10.02.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Чапельського 1,навпроти швейної фабрики,49.35518,23.53669,,,,,20.02.2021,2020,
,,,,1,10.01.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Зварицька ,біля ЗОШ №5,49.35286,23.49022,тополя,1,1,0,26.02.2021,2020,
,,,,213,29.10.2020,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Січових Стрільців 28,,49.35291,23.49795,береза,1,1,0,05.11.2021,2020,
00-008,00-0009,25.01.2021,Департамент міського господарства,8,25.01.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Т. Шевченка. 24,корпус 2 ДДПУ,49.35438,23.5014,тополя,2,1,1,04.02.2021,2021,дерево обрізано
00-008,00-0010,25.01.2021,Департамент міського господарства,8,25.01.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Т. Шевченка. 24,корпус 2 ДДПУ,49.35453,23.50174,тополя,2,2,0,04.02.2021,2021,дерево обрізано
