ідентифікатор,actIdentifier,виданий,customerName,номер доручення,orderDate,виконавець,ЄДРПОУ Виконавця,країна,область,місто,streetAddress,опис локації,latitude,longitude,itemSpecies,кількість,виконано,залишилось,дата виконання,рік виконання,статус
00-216,00-0018,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Сагайдачного,null,49.357899,23.507491,немає даних,NA,,,12/29/2018,,Надіслано на виконання підрядником
00-216,00-0019,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Шептицького,null,49.363958,23.502829,немає даних,NA,,,12/29/2018,,Надіслано на виконання підрядником
00-216,00-0020,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Самбірська,null,49.362183,23.490056,немає даних,NA,,,12/29/2018,,Надіслано на виконання підрядником
00-216,00-0021,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Чорновола,null,49.357103,23.509690,немає даних,NA,,,12/29/2018,,Надіслано на виконання підрядником
00-216,00-0022,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. П.Орлика,Сквер ім. Бандери,49.355300,23.512249,немає даних,NA,,,12/29/2018,,Надіслано на виконання підрядником
00-215,00-0023,2018-12-13,Департамент міського господарства,215,2018-12-13,КП “Комбінат Міського Господарства”,32300054,Україна,Львівська область,Дрогобич,вул. Сахарова,На мості,49.348975,23.516417,немає даних,NA,,,12/27/2018,,Надіслано на виконання підрядником
00-214,00-0024,2018-12-13,Департамент міського господарства,214,2018-12-13,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.В.Великого, 78/1",біля будинку,49.356355,23.537934,Вільха,1,,,12/21/2018,,Надіслано на виконання підрядником
00-214,00-0025,2018-12-13,Департамент міського господарства,214,2018-12-13,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Грушевського,null,49.353892,23.535681,Клен,NA,,,12/21/2018,,Надіслано на виконання підрядником
00-144,00-0026,2018-8-29,Департамент міського господарства,144,2018-8-29,КП “Комбінат Міського Господарства”,32300054,Україна,Львівська область,Дрогобич,вул.Лесі Українки,Біля Світлофора,49.352756,23.510457,немає даних,NA,,,9/5/2018,,Надіслано на виконання підрядником
00-143,00-0027,2018-8-27,Департамент міського господарства,142,2018-8-27,КП “Комбінат Міського Господарства”,32300054,Україна,Львівська область,Дрогобич,"вул. Трускавецька, 78",null,49.339500,23.509395,немає даних,NA,,,9/10/2018,,Надіслано на виконання підрядником
00-58-р,00-0028,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Міцкевича, 11",null,49.351466,23.501558,липа,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0029,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Грушевського, 10",null,49.353574,23.514851,ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0030,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Самбірська, 104/1",null,49.362993,23.494402,горіх,9,,,,,Дозволено розпорядженням міського голови
